timestamp_density,traffic_rate,duplicate_ratio,src_ip_diversity,flow_pair_density,time_delta_std
3.65,786.95,0.9300,0.0400,0.2558,0.429546
2.15,220.07,0.9700,0.0200,0.0644,0.494542
2.01,196.61,0.9800,0.0200,0.0401,0.508247
2485.95,2598816.69,0.3300,0.3400,845.2245,0.000646
1866.72,1951465.37,0.3300,0.3400,634.6836,0.000720
2410.86,2486077.29,0.3300,0.3400,819.6919,0.000669
2319.54,2424846.91,0.3300,0.3400,788.6435,0.000663
2315.67,2420804.00,0.3300,0.3400,787.3286,0.000683
2410.57,2485777.65,0.3300,0.3400,819.5931,0.000657
2176.70,2275527.31,0.3300,0.3400,740.0797,0.000664
2221.43,2322285.41,0.3300,0.3400,755.2870,0.000673
2332.04,2404794.66,0.3300,0.3400,792.8920,0.000684
2107.53,2203207.65,0.3300,0.3400,716.5588,0.000627
1903.24,1989646.38,0.3300,0.3400,647.1014,0.000712
2021.47,2084537.79,0.3300,0.3400,687.2991,0.000705
1868.60,1953434.49,0.3300,0.3500,654.0100,0.000679
1866.93,1951683.97,0.3300,0.3400,634.7547,0.000715
1764.98,1820043.07,0.3300,0.3400,600.0918,0.000739
1801.41,1883196.43,0.3300,0.3400,612.4802,0.000540
1640.50,1714979.41,0.3300,0.3400,557.7702,0.000662
1759.11,1838971.27,0.3300,0.3400,598.0966,0.000752
1877.09,1962308.07,0.3300,0.3400,638.2100,0.000686
2101.94,2197372.57,0.3300,0.3500,735.6805,0.000733
1413.59,1477764.27,0.3300,0.3400,480.6197,0.000760
1596.70,1646521.58,0.3300,0.3400,542.8795,0.000725
1670.76,1746612.53,0.3200,0.3500,584.7660,0.000739
1789.65,1870895.00,0.3300,0.3400,608.4793,0.000762
1488.07,1555631.61,0.3200,0.3500,520.8256,0.000778
1674.62,1726869.30,0.3300,0.3400,569.3712,0.000757
1722.15,1800334.10,0.3300,0.3400,585.5305,0.000752
1767.16,1847388.14,0.3300,0.3500,618.5057,0.000761
1513.39,1582093.62,0.3300,0.3400,514.5512,0.000789
1302.42,1361552.49,0.3200,0.3500,455.8479,0.000792
1307.51,1366875.43,0.3300,0.3400,444.5549,0.000844
